,Usia,Gender,Gaji,Jumalh-Anak
490,44,P,3-5jt,5
491,34,L,5-10jt,6
492,18,P,1-3jt,5
493,37,P,5-10jt,1
494,18,L,1-3jt,6
495,54,P,5-10jt,6
496,55,L,1-3jt,6
497,45,P,1-3jt,5
498,47,L,5-10jt,6
499,28,P,5-10jt,6
500,56,P,3-5jt,6
501,33,L,1-3jt,5
502,51,P,3-5jt,3
503,53,P,5-10jt,3
504,41,P,3-5jt,3
505,51,L,1-3jt,6
506,37,L,5-10jt,1
507,51,P,1-3jt,0
508,44,P,3-5jt,5
509,60,P,1-3jt,0
510,60,P,1-3jt,3
511,45,P,3-5jt,5
512,56,P,1-3jt,5
513,28,P,3-5jt,6
514,36,L,1-3jt,0
515,22,L,1-3jt,0
516,36,L,1-3jt,3
517,44,L,5-10jt,2
518,39,L,5-10jt,6
519,18,P,3-5jt,4
520,29,P,1-3jt,4
521,44,P,5-10jt,4
522,55,L,5-10jt,2
523,33,P,5-10jt,3
524,19,P,5-10jt,2
525,59,L,3-5jt,0
526,35,P,1-3jt,1
527,18,P,3-5jt,3
528,54,P,5-10jt,1
529,35,L,1-3jt,2
530,26,P,1-3jt,2
531,50,L,5-10jt,5
532,49,P,5-10jt,2
533,18,P,3-5jt,1
534,29,P,3-5jt,4
535,30,P,1-3jt,3
536,30,L,3-5jt,4
537,21,L,1-3jt,3
538,39,P,5-10jt,1
539,28,L,1-3jt,0
540,22,P,5-10jt,5
541,51,P,3-5jt,1
542,38,P,3-5jt,2
543,26,L,1-3jt,5
544,46,L,3-5jt,6
545,48,P,5-10jt,5
546,35,L,5-10jt,2
547,22,L,3-5jt,2
548,22,P,3-5jt,2
549,37,L,3-5jt,3
550,17,P,1-3jt,6
551,39,P,5-10jt,4
552,37,L,1-3jt,1
553,46,L,1-3jt,3
554,41,L,5-10jt,6
555,49,P,5-10jt,2
556,23,P,1-3jt,0
557,26,P,3-5jt,1
558,22,L,3-5jt,3
559,23,L,5-10jt,2
560,24,P,1-3jt,0
561,30,P,5-10jt,3
562,23,L,3-5jt,4
563,44,L,3-5jt,1
564,39,L,3-5jt,1
565,48,L,5-10jt,6
566,19,L,1-3jt,3
567,56,P,1-3jt,3
568,54,P,5-10jt,6
569,17,P,3-5jt,2
570,51,L,5-10jt,4
571,60,L,1-3jt,6
572,22,L,3-5jt,4
573,49,L,3-5jt,5
574,59,P,1-3jt,3
575,56,L,1-3jt,6
576,46,L,3-5jt,4
577,51,L,3-5jt,4
578,59,P,5-10jt,4
579,59,P,1-3jt,5
580,45,P,5-10jt,2
581,17,L,5-10jt,2
582,47,P,1-3jt,3
583,60,L,3-5jt,1
584,49,P,1-3jt,6
585,24,P,1-3jt,2
586,17,L,3-5jt,6
587,57,P,3-5jt,5
588,22,L,1-3jt,3
589,48,P,3-5jt,4
590,49,L,1-3jt,0
591,22,P,5-10jt,0
592,44,L,3-5jt,2
593,39,L,3-5jt,6
594,52,L,5-10jt,1
595,31,L,1-3jt,2
596,29,P,1-3jt,2
597,38,P,1-3jt,5
598,25,L,3-5jt,5
599,47,P,3-5jt,5
600,46,L,1-3jt,6
601,31,P,3-5jt,6
602,30,P,5-10jt,3
603,38,L,5-10jt,6
604,25,L,3-5jt,3
605,20,P,5-10jt,5
606,25,L,3-5jt,6
607,46,L,3-5jt,5
608,57,L,1-3jt,4
609,48,L,5-10jt,3
610,49,L,3-5jt,3
611,50,P,1-3jt,4
612,44,P,1-3jt,1
613,29,P,3-5jt,6
614,55,L,3-5jt,5
615,42,L,3-5jt,1
616,18,L,3-5jt,6
617,32,L,3-5jt,2
618,30,L,3-5jt,2
619,60,L,5-10jt,1
620,18,L,3-5jt,5
621,41,L,1-3jt,0
622,37,L,3-5jt,5
623,31,P,3-5jt,0
624,28,P,1-3jt,0
625,43,P,3-5jt,0
626,38,L,5-10jt,3
627,54,L,3-5jt,6
628,38,P,1-3jt,4
629,55,L,3-5jt,1
630,46,L,1-3jt,1
631,26,P,5-10jt,5
632,28,L,1-3jt,2
633,40,L,5-10jt,1
634,19,L,3-5jt,5
635,54,P,5-10jt,3
636,50,P,3-5jt,4
637,30,L,1-3jt,3
638,45,P,5-10jt,4
639,42,L,5-10jt,2
640,24,L,5-10jt,1
641,33,L,1-3jt,4
642,19,P,3-5jt,1
643,44,P,1-3jt,3
644,31,L,5-10jt,5
645,43,L,5-10jt,3
646,57,L,1-3jt,5
647,57,P,1-3jt,4
648,52,L,5-10jt,4
649,38,P,5-10jt,1
650,19,P,1-3jt,0
651,36,L,1-3jt,2
652,60,P,3-5jt,6
653,51,P,3-5jt,4
654,26,L,1-3jt,2
655,27,L,5-10jt,0
656,28,L,3-5jt,0
657,45,L,1-3jt,6
658,37,L,3-5jt,5
659,40,P,1-3jt,3
660,28,P,3-5jt,5
661,42,L,1-3jt,4
662,34,L,3-5jt,4
663,39,L,5-10jt,2
664,59,P,3-5jt,2
665,52,L,1-3jt,6
666,55,L,3-5jt,0
667,47,P,1-3jt,1
668,45,L,3-5jt,2
669,19,P,5-10jt,2
670,54,P,3-5jt,6
671,53,L,3-5jt,4
672,17,L,3-5jt,0
673,54,P,5-10jt,0
674,49,P,3-5jt,1
675,17,L,1-3jt,5
676,30,P,5-10jt,1
677,50,P,3-5jt,5
678,45,L,3-5jt,5
679,24,P,5-10jt,4
680,26,L,3-5jt,3
681,45,L,1-3jt,0
682,38,L,3-5jt,6
683,20,P,3-5jt,0
684,25,P,1-3jt,5
685,44,L,3-5jt,0
686,17,L,5-10jt,6
687,29,P,3-5jt,4
688,56,L,3-5jt,5
689,45,P,3-5jt,0
690,26,L,5-10jt,0
691,38,P,5-10jt,6
692,47,L,1-3jt,6
693,18,P,1-3jt,2
694,40,L,5-10jt,3
695,56,P,3-5jt,6
696,23,L,1-3jt,2
697,36,P,5-10jt,1
698,32,P,1-3jt,0
699,31,L,1-3jt,0
700,36,P,1-3jt,3
701,22,P,1-3jt,4
702,26,P,5-10jt,3
703,56,L,3-5jt,6
704,28,P,5-10jt,6
705,60,P,3-5jt,1
706,59,P,3-5jt,6
707,46,P,3-5jt,0
708,44,L,3-5jt,2
709,60,L,5-10jt,2
710,27,P,1-3jt,1
711,48,P,5-10jt,0
712,36,P,5-10jt,4
713,35,P,3-5jt,1
714,37,L,3-5jt,0
715,22,P,5-10jt,2
716,55,L,5-10jt,2
717,45,L,5-10jt,3
718,60,L,5-10jt,0
719,43,P,5-10jt,2
720,26,L,3-5jt,0
721,35,L,5-10jt,4
722,21,P,5-10jt,4
723,54,P,3-5jt,1
724,52,P,1-3jt,1
725,50,P,5-10jt,3
726,56,L,1-3jt,2
727,54,P,3-5jt,5
728,44,L,3-5jt,3
729,52,L,1-3jt,4
730,34,P,3-5jt,0
731,48,P,1-3jt,3
732,40,P,5-10jt,0
733,37,P,5-10jt,4
734,35,P,1-3jt,1
735,46,P,3-5jt,0
736,38,P,1-3jt,1
737,21,L,1-3jt,3
738,41,P,3-5jt,4
739,56,P,1-3jt,0
740,53,L,1-3jt,5
741,59,P,5-10jt,3
742,36,L,5-10jt,1
743,54,P,3-5jt,4
744,40,P,1-3jt,6
745,46,L,1-3jt,2
746,39,P,5-10jt,0
747,23,P,5-10jt,2
748,23,P,1-3jt,4
749,50,P,1-3jt,2
750,33,P,1-3jt,1
751,46,L,3-5jt,0
752,32,P,5-10jt,2
753,32,L,3-5jt,1
754,47,L,3-5jt,6
755,60,P,1-3jt,3
756,35,P,5-10jt,0
757,37,L,5-10jt,6
758,17,P,3-5jt,2
759,28,P,1-3jt,3
760,52,L,5-10jt,3
761,39,L,3-5jt,3
762,43,L,1-3jt,5
763,17,L,5-10jt,5
764,17,L,1-3jt,4
765,54,P,5-10jt,6
766,49,L,3-5jt,1
767,37,L,5-10jt,3
768,47,P,1-3jt,5
769,35,L,3-5jt,1
770,47,P,5-10jt,5
771,23,P,1-3jt,3
772,36,P,1-3jt,5
773,46,P,5-10jt,3
774,53,L,3-5jt,5
775,27,L,5-10jt,1
776,22,P,3-5jt,1
777,26,P,3-5jt,1
778,59,L,3-5jt,2
779,59,L,3-5jt,4
780,50,L,5-10jt,5
781,38,P,1-3jt,5
782,27,L,5-10jt,0
783,28,L,1-3jt,5
784,57,L,1-3jt,4
785,51,L,5-10jt,2
786,44,L,1-3jt,3
787,52,P,1-3jt,4
788,34,P,3-5jt,1
789,54,L,5-10jt,0
790,27,P,3-5jt,5
791,21,L,1-3jt,3
792,42,L,1-3jt,3
793,24,P,5-10jt,3
794,52,P,5-10jt,6
795,44,L,5-10jt,3
796,51,P,5-10jt,6
797,48,P,5-10jt,5
798,28,L,1-3jt,6
799,29,L,5-10jt,2
800,46,P,1-3jt,5
801,57,P,3-5jt,6
802,45,P,3-5jt,4
803,31,P,5-10jt,6
804,24,L,3-5jt,0
805,48,L,5-10jt,5
806,26,L,3-5jt,2
807,52,P,3-5jt,0
808,57,L,5-10jt,5
809,34,L,3-5jt,6
810,32,L,1-3jt,6
811,32,P,5-10jt,5
812,33,P,3-5jt,1
813,37,P,5-10jt,2
814,56,P,1-3jt,6
815,54,P,1-3jt,4
816,36,L,5-10jt,6
817,48,L,1-3jt,3
818,29,P,3-5jt,4
819,41,P,5-10jt,0
820,20,L,5-10jt,0
821,41,L,3-5jt,5
822,38,P,3-5jt,0
823,25,L,1-3jt,4
824,57,P,3-5jt,3
825,34,P,1-3jt,0
826,41,L,5-10jt,4
827,45,P,1-3jt,2
828,48,P,5-10jt,4
829,36,L,5-10jt,3
830,26,L,1-3jt,6
831,29,L,5-10jt,6
832,36,L,1-3jt,2
833,42,L,3-5jt,0
834,42,P,3-5jt,4
835,36,P,5-10jt,0
836,38,P,5-10jt,1
837,37,L,3-5jt,5
838,44,P,1-3jt,2
839,28,P,1-3jt,0
840,49,L,1-3jt,4
841,41,P,1-3jt,1
842,38,L,1-3jt,0
843,36,L,3-5jt,5
844,48,P,5-10jt,2
845,46,L,1-3jt,1
846,56,P,1-3jt,6
847,46,L,1-3jt,2
848,20,L,1-3jt,6
849,24,L,1-3jt,4
850,35,L,5-10jt,4
851,28,P,3-5jt,4
852,50,P,1-3jt,3
853,59,L,3-5jt,2
854,27,P,3-5jt,4
855,17,P,1-3jt,2
856,27,L,1-3jt,1
857,48,P,3-5jt,3
858,36,L,1-3jt,0
859,25,P,1-3jt,1
860,36,L,5-10jt,4
861,36,L,5-10jt,0
862,28,L,5-10jt,5
863,39,P,3-5jt,4
864,18,L,5-10jt,3
865,33,P,1-3jt,3
866,36,L,3-5jt,0
867,32,L,3-5jt,2
868,32,P,5-10jt,4
869,45,P,5-10jt,1
870,47,P,5-10jt,4
871,58,L,5-10jt,4
872,34,P,5-10jt,0
873,22,L,1-3jt,4
874,18,L,3-5jt,6
875,52,P,3-5jt,2
876,24,P,3-5jt,6
877,23,L,5-10jt,0
878,52,L,1-3jt,0
879,43,P,3-5jt,1
880,57,P,5-10jt,2
881,36,P,5-10jt,5
882,18,P,5-10jt,6
883,31,L,5-10jt,6
884,52,P,1-3jt,3
885,37,P,1-3jt,2
886,24,P,5-10jt,6
887,23,P,1-3jt,2
888,40,L,1-3jt,1
889,19,P,1-3jt,3
890,19,P,5-10jt,3
891,40,P,3-5jt,4
892,33,L,5-10jt,2
893,32,P,3-5jt,0
894,34,L,1-3jt,0
895,53,P,3-5jt,1
896,43,P,3-5jt,1
897,31,L,5-10jt,1
898,48,L,1-3jt,2
899,19,L,3-5jt,2
900,56,P,1-3jt,2
901,33,L,3-5jt,3
902,60,L,1-3jt,2
903,41,L,3-5jt,5
904,39,L,3-5jt,1
905,59,P,1-3jt,3
906,58,P,5-10jt,1
907,42,P,1-3jt,5
908,32,P,1-3jt,1
909,22,L,5-10jt,5
910,50,L,3-5jt,0
911,40,L,5-10jt,2
912,32,L,3-5jt,2
913,25,P,3-5jt,6
914,30,P,1-3jt,0
915,28,P,1-3jt,6
916,56,P,3-5jt,3
917,49,P,5-10jt,0
918,39,L,1-3jt,2
919,24,P,5-10jt,0
920,54,P,1-3jt,6
921,17,L,5-10jt,1
922,53,P,5-10jt,2
923,23,L,1-3jt,3
924,55,L,3-5jt,0
925,20,L,1-3jt,5
926,29,L,1-3jt,5
927,21,P,5-10jt,6
928,51,P,1-3jt,1
929,31,L,1-3jt,0
930,60,P,1-3jt,3
931,24,P,3-5jt,0
932,35,L,3-5jt,5
933,44,L,3-5jt,1
934,28,P,3-5jt,3
935,18,P,5-10jt,1
936,28,P,5-10jt,4
937,20,L,5-10jt,6
938,27,P,1-3jt,4
939,45,P,5-10jt,1
940,59,P,5-10jt,6
941,55,L,1-3jt,5
942,53,L,3-5jt,5
943,38,P,3-5jt,6
944,30,P,5-10jt,4
945,42,P,1-3jt,3
946,23,P,3-5jt,5
947,22,L,1-3jt,2
948,44,L,3-5jt,0
949,59,L,3-5jt,0
950,27,L,5-10jt,4
951,28,L,5-10jt,6
952,50,L,1-3jt,0
953,53,L,5-10jt,4
954,60,L,1-3jt,6
955,38,L,1-3jt,1
956,31,L,1-3jt,0
957,30,L,5-10jt,2
958,58,P,1-3jt,4
959,19,P,3-5jt,2
960,27,L,1-3jt,5
961,47,P,1-3jt,6
962,31,L,3-5jt,2
963,22,P,1-3jt,1
964,56,P,1-3jt,3
965,60,L,1-3jt,4
966,31,L,5-10jt,1
967,53,L,3-5jt,3
968,53,P,1-3jt,6
969,56,P,3-5jt,0
970,59,P,3-5jt,2
971,20,P,5-10jt,6
972,38,P,3-5jt,5
973,17,P,3-5jt,3
974,18,L,1-3jt,2
975,18,P,1-3jt,2
976,31,P,5-10jt,4
977,46,L,3-5jt,2
978,60,L,5-10jt,5
979,30,L,1-3jt,5
980,60,L,1-3jt,0
981,33,L,5-10jt,6
982,22,L,5-10jt,6
983,28,L,3-5jt,3
984,39,L,3-5jt,1
985,38,P,5-10jt,4
986,34,L,5-10jt,0
987,27,L,1-3jt,3
988,44,L,1-3jt,6
989,47,P,1-3jt,0
990,33,P,1-3jt,4
991,23,L,5-10jt,2
992,46,L,1-3jt,4
993,47,L,1-3jt,5
994,43,P,3-5jt,3
995,22,P,1-3jt,6
